"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"349";349;"P82979";"P82979";"SARNP_HUMAN";"SAP domain-containing ribonucleoprotein";"SARNP";9;15;"0.00556136473987875";9;15;"0.00704191323672123";0;"nuclear speck, transcription export complex";0,00337457817772778
"350";350;"P84101";"P84101";"SERF2_HUMAN";"Small EDRK-rich factor 2";"SERF2";2;3;"0.00395893761143911";2;3;"0.00501288738885241";0;"nucleus, cytosol";0,000674915635545557
"351";351;"P98171";"P98171-1,P98171-2";"RHG04_HUMAN";"Rho GTPase-activating protein 4";"ARHGAP4";2;2;"8.2303495093343E-5";2;2;"0";0;"nucleus, growth cone, cytosol, focal adhesion";0,000449943757030371
"352";352;"Q00059";"Q00059";"TFAM_HUMAN";"Transcription factor A, mitochondrial";"TFAM";5;6;"0.00189900259410494";5;6;"0.00240455573936823";0;"mitochondrial nucleoid";0,00134983127109111
"356";356;"Q01105";"Q01105-1,Q01105-2";"SET_HUMAN";"Protein SET";"SET";3;4;"5.36959354195189E-4";3;4;"0";0;"nucleoplasm, protein complex, cytosol, perinuclear region of cytoplasm, endoplasmic reticulum";0,000899887514060742
"361";361;"Q04206";"Q04206-1,Q04206-2,Q04206-3,Q04206-4";"TF65_HUMAN";"Transcription factor p65";"RELA";2;2;"7.06525466046302E-5";2;2;"0";0;"cytosol, nucleoplasm, transcription factor complex";0,000449943757030371
"362";362;"Q04637";"Q04637-1,Q04637-3,Q04637-4,Q04637-5,Q04637-6";"IF4G1_HUMAN";"Eukaryotic translation initiation factor 4 gamma 1";"EIF4G1";6;6;"5.84308490493827E-5";6;6;"0";0;"eukaryotic translation initiation factor 4F complex, cytosol";0,00134983127109111
"367";367;"Q08211";"Q08211-1";"DHX9_HUMAN";"ATP-dependent RNA helicase A";"DHX9";5;5;"3.06531914796466E-4";5;5;"0";0;"CRD-mediated mRNA stability complex, ribonucleoprotein complex, nucleoplasm, cytosol, centrosome, nucleolus";0,00112485939257593
"368";368;"Q08J23";"Q08J23-1,Q08J23-2";"NSUN2_HUMAN";"tRNA (cytosine(34)-C(5))-methyltransferase";"NSUN2";2;4;"2.03022441612262E-4";2;4;"0";0;"nucleolus, cytoplasm, spindle";0,000899887514060742
"370";370;"Q12905";"Q12905";"ILF2_HUMAN";"Interleukin enhancer-binding factor 2";"ILF2";3;6;"0.00119783240551235";3;6;"0.00151671977406304";0;"cytoplasm, nucleolus, ribonucleoprotein complex";0,00134983127109111
"371";371;"Q12906";"Q12906-1,Q12906-2,Q12906-3,Q12906-4,Q12906-5,Q12906-6";"ILF3_HUMAN";"Interleukin enhancer-binding factor 3";"ILF3";6;9;"1.30636084493796E-4";6;9;"0";0;"ribonucleoprotein complex, nucleus, mitochondrion, nucleolus";0,00202474690663667
"373";373;"Q13112";"Q13112";"CAF1B_HUMAN";"Chromatin assembly factor 1 subunit B";"CHAF1B";2;2;"2.78565675700546E-4";2;2;"3.52725528851869E-4";0;"CAF-1 complex, nucleus, cytoplasm";0,000449943757030371
"374";374;"Q13148";"Q13148-1,Q13148-2";"TADBP_HUMAN";"TAR DNA-binding protein 43";"TARDBP";4;4;"3.76130948590833E-4";4;4;"0";0;"nucleus";0,000899887514060742
"375";375;"Q13151";"Q13151";"ROA0_HUMAN";"Heterogeneous nuclear ribonucleoprotein A0";"HNRNPA0";4;4;"0.00102110303420725";4;4;"0.00129294144674226";0;"nucleoplasm, ribonucleoprotein complex";0,000899887514060742
"376";376;"Q13155";"Q13155";"AIMP2_HUMAN";"Aminoacyl tRNA synthase complex-interacting multifunctional protein 2";"AIMP2";2;2;"4.8661941473939E-4";2;2;"6.16167408213108E-4";0;"cytosol, nucleus";0,000449943757030371
"379";379;"Q13263";"Q13263-1";"TIF1B_HUMAN";"Transcription intermediary factor 1-beta";"TRIM28";15;31;"0.0028905776013262";15;31;"0";0;"nuclear euchromatin, nuclear heterochromatin, nucleoplasm";0,00697412823397075
"381";381;"Q13310";"Q13310-1,Q13310-2,Q13310-3";"PABP4_HUMAN";"Polyadenylate-binding protein 4";"PABPC4";2;4;"2.4179846695125E-4";2;4;"0";10;"cytoplasmic stress granule, nucleus";0,000899887514060742
"385";385;"Q13547";"Q13547,Q92769";"HDAC1_HUMAN, HDAC2_HUMAN";"Histone deacetylase 1, Histone deacetylase 2";"HDAC1, HDAC2";3;3;"2.40801359871039E-4";3;3;"3.04907583445662E-4";0;"cytosol, Sin3 complex, NuRD complex";0,000674915635545557
"386";386;"Q13573";"Q13573";"SNW1_HUMAN";"SNW domain-containing protein 1";"SNW1";13;21;"0.00305045006254543";13;21;"0.00386254196193292";0;"nuclear matrix, nucleoplasm, catalytic step 2 spliceosome, chromatin";0,0047244094488189
"390";390;"Q14103";"Q14103-1,Q14103-3";"HNRPD_HUMAN";"Heterogeneous nuclear ribonucleoprotein D0";"HNRNPD";6;7;"8.44387491491449E-4";6;7;"0";1;"nucleoplasm, ribonucleoprotein complex, cytosol";0,0015748031496063
"391";391;"Q14141";"Q14141-1,Q14141-2,Q14141-4";"SEPT6_HUMAN";"Septin-6";"SEPT6";3;3;"2.69098293865101E-4";3;3;"0";2;"cleavage furrow, condensed chromosome kinetochore, cytoplasm, axon terminus, septin complex, midbody, spindle, synaptic vesicle";0,000674915635545557
"393";393;"Q14566";"Q14566";"MCM6_HUMAN";"DNA replication licensing factor MCM6";"MCM6";12;18;"0.00170702060225267";12;18;"0.00216146423343941";0;"nucleoplasm, MCM complex";0,00404949381327334
"396";396;"Q14807";"Q14807";"KIF22_HUMAN";"Kinesin-like protein KIF22";"KIF22";3;3;"3.51244088834447E-4";3;3;"4.44752414950815E-4";0;"kinesin complex, nucleus, spindle, cytosol, microtubule, kinetochore, chromatin, focal adhesion";0,000674915635545557
"398";398;"Q15003";"Q15003";"CND2_HUMAN";"Condensin complex subunit 2";"NCAPH";3;3;"3.15219054082196E-4";3;3;"3.99136782648167E-4";0;"microtubule cytoskeleton, condensin complex, cytosol, nucleus";0,000674915635545557
"399";399;"Q15004";"Q15004";"PAF15_HUMAN";"PCNA-associated factor";"KIAA0101";4;7;"0.00491003373430736";4;7;"0.00621718465944758";0;"nucleus, perinuclear region of cytoplasm";0,0015748031496063
"402";402;"Q15029";"Q15029-1,Q15029-2";"U5S1_HUMAN";"116 kDa U5 small nuclear ribonucleoprotein component";"EFTUD2";10;13;"5.20662748280829E-4";10;13;"0";0;"catalytic step 2 spliceosome, nuclear speck, cytoplasm, Cajal body";0,00292463442069741
"403";403;"Q15056";"Q15056-1,Q15056-2";"IF4H_HUMAN";"Eukaryotic translation initiation factor 4H";"EIF4H";5;5;"7.8487002377321E-4";5;5;"0";0;"perinuclear region of cytoplasm, eukaryotic translation initiation factor 4F complex, cytosol";0,00112485939257593
"406";406;"Q15233";"Q15233";"NONO_HUMAN";"Non-POU domain-containing octamer-binding protein";"NONO";14;29;"0.00496207885346801";14;29;"0.00628308524872129";2;"paraspeckles, nuclear speck, nuclear matrix, nucleolus";0,00652418447694038
"408";408;"Q15366";"Q15366-1,Q15366-2,Q15366-3,Q15366-4,Q15366-5,Q15366-6";"PCBP2_HUMAN";"Poly(rC)-binding protein 2";"PCBP2";3;4;"2.27533461503715E-4";3;4;"0";6;"ribonucleoprotein complex, nucleoplasm, cytosol";0,000899887514060742
"409";409;"Q15370";"Q15370";"ELOB_HUMAN";"Transcription elongation factor B polypeptide 2";"TCEB2";2;2;"0.0013196458704797";2;2;"0.0016709624629508";0;"Cul5-RING ubiquitin ligase complex, Cul2-RING ubiquitin ligase complex, nucleoplasm, cytosol, elongin complex";0,000449943757030371
"410";410;"Q15424";"Q15424";"SAFB1_HUMAN";"Scaffold attachment factor B1";"SAFB";7;7;"5.95643436620893E-4";7;7;"7.54215843932985E-4";0;"nucleus";0,0015748031496063
"411";411;"Q15427";"Q15427";"SF3B4_HUMAN";"Splicing factor 3B subunit 4";"SF3B4";1;1;"1.83629967826185E-4";1;1;"2.32516003099286E-4";0;"nucleoplasm, U12-type spliceosomal complex";0,000224971878515186
"412";412;"Q15428";"Q15428";"SF3A2_HUMAN";"Splicing factor 3A subunit 2";"SF3A2";3;4;"6.71199192743987E-4";3;4;"8.49886080293942E-4";0;"catalytic step 2 spliceosome, small nuclear ribonucleoprotein complex, nucleoplasm";0,000899887514060742
"413";413;"Q15459";"Q15459";"SF3A1_HUMAN";"Splicing factor 3A subunit 1";"SF3A1";4;4;"3.92731936233556E-4";4;4;"4.97285171823946E-4";0;"catalytic step 2 spliceosome, nucleoplasm, U2-type spliceosomal complex";0,000899887514060742
"414";414;"Q15637";"Q15637-1,Q15637-2,Q15637-3,Q15637-4,Q15637-5,Q15637-6";"SF01_HUMAN";"Splicing factor 1";"SF1";2;2;"4.06150789558177E-5";2;2;"0";0;"ribosome, spliceosomal complex";0,000449943757030371
"415";415;"Q15717";"Q15717";"ELAV1_HUMAN";"ELAV-like protein 1";"ELAVL1";1;1;"2.3883161459602E-4";1;1;"3.02413451883734E-4";0;"cytosol, nucleoplasm";0,000224971878515186
"418";418;"Q16540";"Q16540";"RM23_HUMAN";"39S ribosomal protein L23, mitochondrial";"MRPL23";2;2;"0.00101776609618696";2;2;"0.0012887161478967";0;"mitochondrial large ribosomal subunit";0,000449943757030371
"420";420;"Q16576";"Q16576-1,Q16576-2";"RBBP7_HUMAN";"Histone-binding protein RBBP7";"RBBP7";2;3;"2.74796845970479E-4";2;3;"0";0;"NuRD complex, ESC/E(Z) complex";0,000674915635545557
"421";421;"Q16630";"Q16630-1,Q16630-2,Q16630-3";"CPSF6_HUMAN";"Cleavage and polyadenylation specificity factor subunit 6";"CPSF6";1;1;"4.71016977364201E-5";1;1;"0";0;"ribonucleoprotein complex, mRNA cleavage factor complex, paraspeckles";0,000224971878515186
"422";422;"Q16763";"Q16763";"UBE2S_HUMAN";"Ubiquitin-conjugating enzyme E2 S";"UBE2S";2;2;"7.01433390615338E-4";2;2;"8.8816923706394E-4";0;"anaphase-promoting complex";0,000449943757030371
"424";424;"Q52LJ0";"Q52LJ0";"FA98B_HUMAN";"Protein FAM98B";"FAM98B";3;4;"9.43746743737E-4";3;4;"0.00119499133714057";0;"tRNA-splicing ligase complex";0,000899887514060742
"426";426;"Q56NI9";"Q56NI9";"ESCO2_HUMAN";"N-acetyltransferase ESCO2";"ESCO2";2;2;"2.59098523654917E-4";2;2;"3.28075824672537E-4";0;"nucleoplasm, chromatin";0,000449943757030371
"427";427;"Q58FF8";"Q58FF8";"H90B2_HUMAN";"Putative heat shock protein HSP 90-beta 2";"HSP90AB2P";1;1;"2.52111393691297E-4";1;1;"3.19228578487677E-4";9;"cytoplasm";0,000224971878515186
"428";428;"Q5SW79";"Q5SW79-1,Q5SW79-2,Q5SW79-3";"CE170_HUMAN";"Centrosomal protein of 170 kDa";"CEP170";2;2;"3.27689841575347E-5";2;2;"0";0;"microtubule, spindle, centriole, centrosome";0,000449943757030371
"429";429;"Q6P2E9";"Q6P2E9-1";"EDC4_HUMAN";"Enhancer of mRNA-decapping protein 4";"EDC4";6;7;"3.89017662032917E-4";6;7;"0";0;"cytosol, cytoplasmic mRNA processing body, nucleus";0,0015748031496063
"434";434;"Q7Z5L9";"Q7Z5L9-1,Q7Z5L9-2";"I2BP2_HUMAN";"Interferon regulatory factor 2-binding protein 2";"IRF2BP2";1;1;"6.63195113784518E-5";1;1;"0";0;"cytoplasm, nucleus";0,000224971878515186
"436";436;"Q86XP3";"Q86XP3-1,Q86XP3-2";"DDX42_HUMAN";"ATP-dependent RNA helicase DDX42";"DDX42";6;7;"2.90519053575755E-4";6;7;"0";0;"nuclear speck, cytoplasm, nucleus, Cajal body";0,0015748031496063
"437";437;"Q86YP4";"Q86YP4-1,Q86YP4-2";"P66A_HUMAN";"Transcriptional repressor p66-alpha";"GATAD2A";6;7;"4.66375637085672E-4";6;7;"0";1;"NuRD complex, nuclear speck";0,0015748031496063
"439";439;"Q8IXM2";"Q8IXM2-1,Q8IXM2-2";"BAP18_HUMAN";"Chromatin complexes subunit BAP18";"BAP18";1;2;"4.52669223013386E-4";1;2;"0";0;"MLL1 complex, NURF complex";0,000449943757030371
"440";440;"Q8N163";"Q8N163-1,Q8N163-2";"K1967_HUMAN";"DBIRD complex subunit KIAA1967";"KIAA1967";7;8;"3.37417579017562E-4";7;8;"0";0;"nuclear chromatin, mitochondrial matrix, DBIRD complex";0,00179977502812148
"441";441;"Q8N183";"Q8N183";"MIMIT_HUMAN";"Mimitin, mitochondrial";"NDUFAF2";7;7;"0.00322493339945632";7;7;"0.0040834763147851";0;"mitochondrion";0,0015748031496063
"444";444;"Q8N983";"Q8N983-4";"RM43_HUMAN";"39S ribosomal protein L43, mitochondrial";"MRPL43";3;3;"0.00108640613523213";3;3;"0";0;"mitochondrial ribosome";0,000674915635545557
"447";447;"Q8TEA8";"Q8TEA8";"DTD1_HUMAN";"D-tyrosyl-tRNA(Tyr) deacylase 1";"DTD1";2;2;"7.45063218739737E-4";2;2;"9.43414213532032E-4";0;"nucleolus, cytoplasm";0,000449943757030371
"448";448;"Q8WW12";"Q8WW12-1";"PCNP_HUMAN";"PEST proteolytic signal-containing nuclear protein";"PCNP";3;4;"0.00174964283951241";3;4;"0";0;"nucleus";0,000899887514060742
"449";449;"Q8WXI9";"Q8WXI9";"P66B_HUMAN";"Transcriptional repressor p66-beta";"GATAD2B";4;5;"7.11191949591015E-4";4;5;"9.00525723077055E-4";1;"nuclear speck, nucleus";0,00112485939257593
"450";450;"Q92499";"Q92499";"DDX1_HUMAN";"ATP-dependent RNA helicase DDX1";"DDX1";3;5;"5.26075042961503E-4";3;5;"6.66126927797955E-4";0;"cytoplasmic stress granule, cleavage body, tRNA-splicing ligase complex";0,00112485939257593
"452";452;"Q92615";"Q92615";"LAR4B_HUMAN";"La-related protein 4B";"LARP4B";2;2;"2.11000288233882E-4";2;2;"2.67172859929803E-4";0;"cytosol, cytoplasmic stress granule, polysomal ribosome";0,000449943757030371
"455";455;"Q92841";"Q92841-4";"DDX17_HUMAN";"Probable ATP-dependent RNA helicase DDX17";"DDX17";11;15;"0.00213535606455695";11;15;"0";14;"nucleus, nucleolus";0,00337457817772778
"456";456;"Q92900";"Q92900-1,Q92900-2";"RENT1_HUMAN";"Regulator of nonsense transcripts 1";"UPF1";2;3;"1.03444339714308E-4";2;3;"0";0;"chromatin, cytosol, cytoplasmic mRNA processing body, supraspliceosomal complex, exon-exon junction complex";0,000674915635545557
"457";457;"Q92945";"Q92945";"FUBP2_HUMAN";"Far upstream element-binding protein 2";"KHSRP";9;9;"9.85558308332943E-4";9;9;"0.00124793399131769";0;"cytoplasmic stress granule, cytosol, nucleoplasm";0,00202474690663667
"459";459;"Q96AE4";"Q96AE4-1,Q96AE4-2";"FUBP1_HUMAN";"Far upstream element-binding protein 1";"FUBP1";2;2;"1.20899233475625E-4";2;2;"0";0;"nucleus";0,000449943757030371
"460";460;"Q96CT7";"Q96CT7";"CC124_HUMAN";"Coiled-coil domain-containing protein 124";"CCDC124";10;17;"0.00593544756991544";10;17;"0.00751558453067109";0;"cytoplasm, microtubule organizing center, midbody";0,00382452193475816
"463";463;"Q96PK6";"Q96PK6-1";"RBM14_HUMAN";"RNA-binding protein 14";"RBM14";9;12;"0.00139657589880363";9;12;"0";0;"mediator complex, ribonucleoprotein complex, transcription factor complex";0,00269966254218223
"464";464;"Q96T37";"Q96T37-1,Q96T37-2,Q96T37-3";"RBM15_HUMAN";"Putative RNA-binding protein 15";"RBM15";2;2;"5.31280152564329E-5";2;2;"0";0;"nucleus";0,000449943757030371
"465";465;"Q96T88";"Q96T88-1,Q96T88-2";"UHRF1_HUMAN";"E3 ubiquitin-protein ligase UHRF1";"UHRF1";1;1;"4.90914920291945E-5";1;1;"0";0;"nuclear chromatin, nuclear matrix, replication fork, heterochromatin, euchromatin";0,000224971878515186
"469";469;"Q99729";"Q99729-2,Q99729-3";"ROAA_HUMAN";"Heterogeneous nuclear ribonucleoprotein A/B";"HNRNPAB";3;3;"3.86950377985539E-4";3;3;"0";1;"nucleus, cytoplasm, ribonucleoprotein complex";0,000674915635545557
"470";470;"Q99798";"Q99798";"ACON_HUMAN";"Aconitate hydratase, mitochondrial";"ACO2";5;7;"6.98735569882202E-4";5;7;"8.84753201536771E-4";0;"mitochondrial matrix, nucleus";0,0015748031496063
"475";475;"Q9BWF3";"Q9BWF3-1";"RBM4_HUMAN";"RNA-binding protein 4";"RBM4";1;1;"2.1389864384149E-4";1;1;"0";0;"nuclear speck, nucleolus, cytoplasmic stress granule";0,000224971878515186
"476";476;"Q9BXP5";"Q9BXP5-1,Q9BXP5-2,Q9BXP5-3,Q9BXP5-4,Q9BXP5-5";"SRRT_HUMAN";"Serrate RNA effector molecule homolog";"SRRT";3;3;"5.33281550399332E-5";3;3;"0";0;"nucleoplasm, cytoplasm";0,000674915635545557
"477";477;"Q9BY44";"Q9BY44-1,Q9BY44-2";"EIF2A_HUMAN";"Eukaryotic translation initiation factor 2A";"EIF2A";2;2;"1.33092489501372E-4";2;2;"0";0;"blood microparticle, eukaryotic translation initiation factor 2 complex";0,000449943757030371
"478";478;"Q9BY77";"Q9BY77-1";"PDIP3_HUMAN";"Polymerase delta-interacting protein 3";"POLDIP3";4;6;"0.00110963096947699";4;6;"0";0;"cytoplasm, nuclear speck";0,00134983127109111
"479";479;"Q9BYN8";"Q9BYN8";"RT26_HUMAN";"28S ribosomal protein S26, mitochondrial";"MRPS26";3;3;"0.00113940155646296";3;3;"0.00144273344362094";0;"mitochondrial small ribosomal subunit";0,000674915635545557
"480";480;"Q9GZT3";"Q9GZT3";"SLIRP_HUMAN";"SRA stem-loop-interacting RNA-binding protein, mitochondrial";"SLIRP";3;3;"0.00214291118417346";3;3;"0.00271339776093846";0;"mitochondrion, ribonucleoprotein complex, nucleus";0,000674915635545557
"482";482;"Q9H2W6";"Q9H2W6";"RM46_HUMAN";"39S ribosomal protein L46, mitochondrial";"MRPL46";4;4;"0.00111625958936634";4;4;"0.00141343061382218";0;"ribosome, mitochondrion";0,000899887514060742
"489";489;"Q9NPA8";"Q9NPA8";"ENY2_HUMAN";"Enhancer of yellow 2 transcription factor homolog";"ENY2";2;2;"0.00154176448234262";2;2;"0.00195221357057618";0;"nuclear pore, DUBm complex, SAGA complex, transcription export complex 2";0,000449943757030371
"490";490;"Q9NSD9";"Q9NSD9";"SYFB_HUMAN";"Phenylalanine--tRNA ligase beta subunit";"FARSB";2;2;"2.64377271165713E-4";2;2;"3.34759882221043E-4";0;"cytosol";0,000449943757030371
"491";491;"Q9NSI8";"Q9NSI8-1,Q9NSI8-3";"SAMN1_HUMAN";"SAM domain-containing protein SAMSN-1";"SAMSN1";4;7;"7.30581426954581E-4";4;7;"0";0;"nucleus, cytoplasm, ruffle";0,0015748031496063
"494";494;"Q9NX24";"Q9NX24";"NHP2_HUMAN";"H/ACA ribonucleoprotein complex subunit 2";"NHP2";1;2;"0.00101776609618696";1;2;"0.0012887161478967";0;"Cajal body, small nucleolar ribonucleoprotein complex, nucleolus";0,000449943757030371
"497";497;"Q9P258";"Q9P258";"RCC2_HUMAN";"Protein RCC2";"RCC2";2;2;"2.98310752330661E-4";2;2;"3.77727146797308E-4";0;"mitotic spindle midzone, cytosol, nucleolus, microtubule, chromosome, centromeric core region, midbody";0,000449943757030371
"500";500;"Q9UFW8";"Q9UFW8";"CGBP1_HUMAN";"CGG triplet repeat-binding protein 1";"CGGBP1";2;2;"9.32444387524581E-4";2;2;"0.00118068006364188";0;"nucleus";0,000449943757030371
"501";501;"Q9UHV9";"Q9UHV9";"PFD2_HUMAN";"Prefoldin subunit 2";"PFDN2";1;2;"0.0010111572254325";1;2;"0.00128034786122204";0;"nucleus, prefoldin complex, mitochondrion";0,000449943757030371
"502";502;"Q9UHX1";"Q9UHX1-2,Q9UHX1-4,Q9UHX1-6";"PUF60_HUMAN";"Poly(U)-binding-splicing factor PUF60";"PUF60";4;4;"1.8571045046703E-4";4;4;"0";0;"nucleus, ribonucleoprotein complex";0,000899887514060742
"503";503;"Q9UI08";"Q9UI08-1,Q9UI08-2";"EVL_HUMAN";"Ena/VASP-like protein";"EVL";4;4;"3.74322626722608E-4";4;4;"0";0;"cytosol, focal adhesion, lamellipodium, cytoskeleton";0,000899887514060742
"504";504;"Q9UI09";"Q9UI09";"NDUAC_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12";"NDUFA12";3;5;"0.00268479677097595";3;5;"0.00339954432117577";0;"mitochondrial respiratory chain complex I";0,00112485939257593
"505";505;"Q9UI30";"Q9UI30";"TR112_HUMAN";"tRNA methyltransferase 112 homolog";"TRMT112";2;2;"0.00124574570173284";2;2;"0.00157738856502556";0;"protein complex";0,000449943757030371
"508";508;"Q9UKM9";"Q9UKM9-1,Q9UKM9-2";"RALY_HUMAN";"RNA-binding protein Raly";"RALY";9;13;"0.00190831143035055";9;13;"0";2;"catalytic step 2 spliceosome";0,00292463442069741
"510";510;"Q9UKY7";"Q9UKY7-1";"CDV3_HUMAN";"Protein CDV3 homolog";"CDV3";4;4;"0.0012071179280357";4;4;"0";0;"nucleolus, cytoplasm";0,000899887514060742
"512";512;"Q9UMS4";"Q9UMS4";"PRP19_HUMAN";"Pre-mRNA-processing factor 19";"PRPF19";2;2;"3.08964707771042E-4";2;2;"3.91217402040069E-4";0;"cytoplasm, nuclear speck, spindle, catalytic step 2 spliceosome, Prp19 complex, ubiquitin ligase complex, lipid particle";0,000449943757030371
"513";513;"Q9UN86";"Q9UN86-1,Q9UN86-2";"G3BP2_HUMAN";"Ras GTPase-activating protein-binding protein 2";"G3BP2";2;2;"1.76218271652137E-4";2;2;"0";1;"cytoplasm";0,000449943757030371
"516";516;"Q9Y224";"Q9Y224";"CN166_HUMAN";"UPF0568 protein C14orf166";"C14orf166";3;6;"0.00191456818913859";3;6;"0.00242426521264174";0;"nucleus, tRNA-splicing ligase complex, perinuclear region of cytoplasm, microtubule organizing center";0,00134983127109111
"518";518;"Q9Y237";"Q9Y237-1,Q9Y237-2";"PIN4_HUMAN";"Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4";"PIN4";5;8;"0.00237737729338328";5;8;"0";0;"preribosome, mitochondrial matrix, cytoplasm, spindle, nucleolus";0,00179977502812148
"520";520;"Q9Y266";"Q9Y266";"NUDC_HUMAN";"Nuclear migration protein nudC";"NUDC";5;7;"0.00164656720395202";5;7;"0.0020849169099658";0;"microtubule, nucleoplasm, cytosol";0,0015748031496063
"522";522;"Q9Y2R9";"Q9Y2R9";"RT07_HUMAN";"28S ribosomal protein S7, mitochondrial";"MRPS7";2;2;"6.43463688911591E-4";2;2;"8.14766820777664E-4";0;"cytosolic small ribosomal subunit, mitochondrion";0,000449943757030371
"523";523;"Q9Y3B4";"Q9Y3B4";"PM14_HUMAN";"Pre-mRNA branch site protein p14";"SF3B14";3;5;"0.0031143642543321";3;5;"0.00394347141256389";0;"U12-type spliceosomal complex, nucleoplasm";0,00112485939257593
"524";524;"Q9Y3B7";"Q9Y3B7-1,Q9Y3B7-2";"RM11_HUMAN";"39S ribosomal protein L11, mitochondrial";"MRPL11";3;3;"6.08274268424238E-4";3;3;"0";0;"mitochondrial ribosome";0,000674915635545557
"527";527;"Q9Y3I0";"Q9Y3I0";"RTCB_HUMAN";"tRNA-splicing ligase RtcB homolog";"C22orf28";6;9;"0.00138758803410836";6;9;"0.00175699221351857";0;"cytoplasm, tRNA-splicing ligase complex";0,00202474690663667
